"PUMFID","WGHT_EPI","DDAY","STARTIME","ENDTIME","STARTMIN","ENDMIN","DURATION","LOCATION","origin","destination","dest","orig","YEAR","MODE"
18672,1259.7,6,745,800,465,480,15,14,1,4,"Restaurant, bar or club","home",2005,"walking"
18672,1259.7,6,815,830,495,510,15,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18685,499.0853,4,1600,1605,960,965,5,14,1,3,"other's home","home",2005,"walking"
18685,499.0853,4,1745,1750,1065,1070,5,14,3,1,"home","other's home",2005,"walking"
18692,700.8787,7,915,925,555,565,10,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18692,700.8787,7,955,1005,595,605,10,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18693,1875.474,1,1800,1805,1080,1085,5,14,1,3,"other's home","home",2005,"walking"
18693,1875.474,1,1905,1910,1145,1150,5,14,3,1,"home","other's home",2005,"walking"
18721,450.6778,6,1100,1115,660,675,15,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18721,450.6778,6,1200,1220,720,740,20,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18724,799.8486,7,1245,1250,765,770,5,14,1,7,"Grocery store, other stores or mall","home",2005,"walking"
18724,799.8486,7,1255,1300,775,780,5,14,7,1,"home","Grocery store, other stores or mall",2005,"walking"
18731,569.9146,4,720,722,440,442,2,14,1,4,"Restaurant, bar or club","home",2005,"walking"
18731,569.9146,4,822,824,502,504,2,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18731,569.9146,4,1606,1612,966,972,6,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18745,634.1479,4,1000,1003,600,603,3,14,1,3,"other's home","home",2005,"walking"
18745,634.1479,4,1048,1050,648,650,2,14,3,1,"home","other's home",2005,"walking"
18758,3142.316,1,950,1020,590,620,30,14,1,7,"Grocery store, other stores or mall","home",2005,"walking"
18758,3142.316,1,1220,1250,740,770,30,14,7,1,"home","Grocery store, other stores or mall",2005,"walking"
18764,1562.027,5,700,715,420,435,15,14,1,2,"work or school","home",2005,"walking"
18764,1562.027,5,1630,1650,990,1010,20,14,2,1,"home","work or school",2005,"walking"
18765,3002.077,2,815,830,495,510,15,14,1,8,"work or school","home",2005,"walking"
18765,3002.077,2,1520,1545,920,945,25,14,8,1,"home","work or school",2005,"walking"
18769,454.9907,3,1930,1945,1170,1185,15,14,1,3,"other's home","home",2005,"walking"
18772,621.8337,4,1900,1902,1140,1142,2,14,1,3,"other's home","home",2005,"walking"
18772,621.8337,4,2000,2002,1200,1202,2,14,3,1,"home","other's home",2005,"walking"
18775,681.0931,5,1145,1148,705,708,3,14,8,8,"work or school","work or school",2005,"walking"
18780,595.2501,1,1245,1300,765,780,15,14,1,1,"home","home",2005,"walking"
18783,5316.535,6,900,902,540,542,2,14,1,2,"work or school","home",2005,"walking"
18783,5316.535,6,1420,1422,860,862,2,14,2,4,"Restaurant, bar or club","work or school",2005,"walking"
18783,5316.535,6,1427,1430,867,870,3,14,4,2,"work or school","Restaurant, bar or club",2005,"walking"
18783,5316.535,6,1600,1602,960,962,2,14,2,1,"home","work or school",2005,"walking"
18787,73.4656,6,1410,1435,850,875,25,14,1,1,"home","home",2005,"walking"
18787,73.4656,6,1505,1520,905,920,15,14,1,4,"Restaurant, bar or club","home",2005,"walking"
18787,73.4656,6,1535,1555,935,955,20,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18791,1706.967,5,900,930,540,570,30,14,1,1,"home","home",2005,"walking"
18799,682.6572,3,1845,1900,1125,1140,15,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18799,682.6572,3,1930,1945,1170,1185,15,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18811,211.9569,3,2320,2321,1400,1401,1,14,4,4,"Restaurant, bar or club","Restaurant, bar or club",2005,"walking"
18820,320.7366,6,815,830,495,510,15,14,1,2,"work or school","home",2005,"walking"
18820,320.7366,6,1500,1515,900,915,15,14,2,1,"home","work or school",2005,"walking"
18822,1072.592,1,1015,1020,615,620,5,14,1,5,"Place of worship","home",2005,"walking"
18828,839.016,2,855,900,535,540,5,14,1,9,"outdoors","home",2005,"walking"
18828,839.016,2,1100,1105,660,665,5,14,9,1,"home","outdoors",2005,"walking"
18829,1102.237,7,1615,1620,975,980,5,14,1,1,"home","home",2005,"walking"
18829,1102.237,7,1730,1735,1050,1055,5,14,1,1,"home","home",2005,"walking"
18837,462.5509,3,1225,1230,745,750,5,14,2,4,"Restaurant, bar or club","work or school",2005,"walking"
18837,462.5509,3,1235,1240,755,760,5,14,4,2,"work or school","Restaurant, bar or club",2005,"walking"
18856,2983.173,6,800,830,480,510,30,14,1,1,"home","home",2005,"walking"
18856,2983.173,6,1130,1200,690,720,30,14,1,1,"home","home",2005,"walking"
18863,1590.815,2,1530,1545,930,945,15,14,8,1,"home","work or school",2005,"walking"
18882,1094.162,2,1800,1820,1080,1100,20,14,1,3,"other's home","home",2005,"walking"
18882,1094.162,2,1825,1845,1105,1125,20,14,3,1,"home","other's home",2005,"walking"
18890,247.2064,2,1230,1235,750,755,5,14,1,9,"outdoors","home",2005,"walking"
18890,247.2064,2,1830,1835,1110,1115,5,14,6,4,"Restaurant, bar or club","Grocery store, other stores or mall",2005,"walking"
18890,247.2064,2,1915,1930,1155,1170,15,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18898,930.582,7,945,955,585,595,10,14,1,6,"Grocery store, other stores or mall","home",2005,"walking"
18898,930.582,7,1025,1035,625,635,10,14,6,1,"home","Grocery store, other stores or mall",2005,"walking"
18901,1923.826,4,1600,1620,960,980,20,14,1,1,"home","home",2005,"walking"
18901,1923.826,4,1700,1720,1020,1040,20,14,1,1,"home","home",2005,"walking"
18921,496.6791,1,1120,1130,680,690,10,14,1,9,"outdoors","home",2005,"walking"
18921,496.6791,1,1330,1350,810,830,20,14,9,1,"home","outdoors",2005,"walking"
18922,1603.515,7,2020,2021,1220,1221,1,14,1,9,"outdoors","home",2005,"walking"
18922,1603.515,7,2049,2050,1249,1250,1,14,9,1,"home","outdoors",2005,"walking"
18923,724.0267,1,1200,1205,720,725,5,14,1,3,"other's home","home",2005,"walking"
18923,724.0267,1,1245,1250,765,770,5,14,3,4,"Restaurant, bar or club","other's home",2005,"walking"
18923,724.0267,1,1430,1445,870,885,15,14,4,1,"home","Restaurant, bar or club",2005,"walking"
18924,1703.683,3,2000,2005,1200,1205,5,14,1,3,"other's home","home",2005,"walking"
18924,1703.683,3,2305,2310,1385,1390,5,14,3,1,"home","other's home",2005,"walking"
18927,2252.051,3,1515,1600,915,960,45,14,8,1,"home","work or school",2005,"walking"
18929,987.7357,2,635,640,395,400,5,14,1,2,"work or school","home",2005,"walking"
18929,987.7357,2,1900,1905,1140,1145,5,14,2,1,"home","work or school",2005,"walking"
18931,1153.586,2,1130,1133,690,693,3,14,2,4,"Restaurant, bar or club","work or school",2005,"walking"
